S&P Dow Jones Indices,howard.silverblatt@spglobal.com
2024-03-21 00:00:00,
S&P 500 EARNINGS AND ESTIMATE REPORT,
,
S&P Dow Jones Indices,
S&P 500 Index and Sector tax rates,
SECTOR,"12 MoSep,'22"
S&P 500,0.18458393906376294
Communication Services ,0.19391747687929808
Consumer Discretionary ,0.1927890518607818
Consumer Staples ,0.2081948290638515
Energy ,0.23538243349455573
Financials ,0.18355600687328755
Health Care ,0.1592616741182315
Industrials ,0.2120167801465937
Information Technology ,0.15450525587687425
Materials ,0.23347965298982032
Real Estate,0.05380548183862407
Utilities ,0.11602020239856659
,
,
,
,
,
,
Issues   ,494
"Q4,'23 lower shares than Q4,'22",307
    4% lower shares,61
"Q4,'23 higher sharers than Q4,'22",166
    4% higher shares,19
 ,
OPERATING EARNINGS CONTRIBUTION,
,estimate
,2024-09-01 00:00:00
Energy ,0.06320069933409912
Materials  ,0.023399209038331033
Industrials ,0.08982971701280683
Consumer Discretionary,0.09360756667577848
Consumer Staples,0.06533194500694463
Health Care,0.13837121397817523
Financials ,0.16936531960642723
Information Technology  ,0.21125214601071368
Communication Services  ,0.09858297220926363
Utilities  ,0.0340052189385719
Real Estate,0.013053992188888208
S&P 500,0.9999999999999999
(change formula in column ,S&P 500 5YR
"C, G & K to use 2025 P/E)",PROJ ANNUAL
,GROWTH %
S&P 500,14.1181291096767
Communication Services,17.181459310974
Consumer Discretionary,15.965669969175
Consumer Staples,7.97264900600303
Energy,3.40739174417089
Financials,12.5592442320121
Health Care,13.5025432803205
Industrials,13.698237384077
Information Technology,17.6181553866361
Materials,8.49042060330044
Real Estate,6.96984741295353
Utilities,6.99820845560897
The average from Q1 1993 is 8.39%,
S&P 500 operating margins: ,
QTR,2021
"Q4 (Q4,'23 estimate)",0.1340582734696961
Q3,0.13167381826391233
Q2,0.13536877284392831
Q1,0.13022820502356097
    *Q4 2008 is the only negative quarter in index history,
 ,
OBSERVATION,2024E
2022-03-31 00:00:00,
2022-06-30 00:00:00,
2022-09-30 00:00:00,
2022-12-30 00:00:00,
2023-03-31 00:00:00,245.35
2023-06-30 00:00:00,243.06
2023-09-29 00:00:00,245.78
2023-12-29 00:00:00,242.45
Current,240.23
Change QTR,-0.009156527118993618
"Change fr Q4,'22",
"Q1 2024: 11 issues (off fiscals) have reported, with 9 beating on earnings as 3 of 10 beat on sales",
Q4 2023,
Of the 498 issues (503 in the index) with full operating comparative data ,
"368 beat, 106 missed, and 24 met their estimates; 331 of 497 (66.6%) beat on sales",
,
SECTOR,BEAT
Energy ,18
Materials  ,19
Industrials ,64
Consumer Discretionary,40
Consumer Staples,30
Health Care,49
Financials ,49
Information Technology  ,56
Communication Services  ,13
Utilities  ,17
Real Estate,13
S&P 500,368
Date,2024-03-21 00:00:00
S&P 500 close of:,5241.53279721698
Dividend yield (last 12 months: February 2024),0.013621549795111279
Dividend yield (current indicated rate),0.013808689709702828
"Note:  Berkshire Hathaway's Q2 2022 $66.9 billion ""unrealized investment"" loss (mostly non-cash-flow) decreased the S&P 500 EPS by approximately $4.74 per share and the Financial sector by $6.04 per share",
