Industry,Number of firms,Aggregate Market Cap/ Aggregate Earnings,Average PE across cos with PE ratios,IBES Estimate of Growth - Next 5 years
Electronic Compo-Semicon,24,52.99233305274721,50.6920052807585,0.1395592857142857
Electronic Forms,1,16.01153846153846,16.01153846153846,0.015600000000000001
Electronic Measur Instr,12,26.605397474645716,56.677088408422726,0.194515
Electronic Parts Distrib,4,18.047802409828318,16.277353908376064,0.050745
Electronic Secur Devices,7,24.53291498797589,55.60475809402868,0.07365000000000001
Electronics-Military,1,22.241249686742965,22.241249686742965,0.1075
Energy-Alternate Sources,10,25.516191170990663,22.029005651228122,0.08
Engineering/R&D Services,19,88.98539042944812,28.791415444750275,0.14136333333333334
Enterprise Software/Serv,26,46.013764211164535,33.82049038122647,0.10854444444444444
Entertainment Software,7,NA,14.788753707920819,0.00775
Environ Consulting&Eng,3,25.604566571639747,25.285752934802503,0.1
Environ Monitoring&Det,2,26.82723195446293,25.547480042407656,NA
E-Services/Consulting,10,NA,38.59664976480772,0.0815
Explosives,1,46.587216,46.587216,NA
Film Processing,2,19.213394738514644,63.89355555555556,0.23405
Filtration/Separat Prod,4,19.29524865786742,20.258059802068267,0.09166666666666666
Finance-Commercial,2,37.927874396135266,32.807101449275365,NA
Finance-Consumer Loans,4,8.858167411621292,6.535249069695488,0.1
Finance-Invest Bnkr/Brkr,39,30.010901671745252,32.70171287770169,0.06333333333333332
Finance-Leasing Compan,6,19.015561004961064,29.208249554868452,NA
Finance-Mtge Loan/Banker,3,7.3382026976744195,14.008928514249119,0.11
Finance-Other Services,25,24.26621494348294,32.205944344279146,0.1224642857142857
Financial Guarantee Ins,1,15.010858107009359,7,0.03
Fisheries,13,25.84343483082715,30.600287776196954,0.05
Food-Baking,8,22.827766780318072,16.468492146190478,0.08
Food-Catering,4,10.061299021565494,20.441327349726777,0.040516666666666666
Food-Confectionery,11,22.87743653963223,21.577382406215964,0.102425
Food-Dairy Products,16,8.06676253037761,15.46412423563149,0.041666
Food-Flour&Grain,2,23.50198454852728,28.317730278416185,NA
Food-Meat Products,10,16.33904371508373,22.279724672454346,0.106
Food-Misc/Diversified,50,15.725155854528294,18.877682742356193,0.0770784
Food-Retail,24,16.30829816592886,23.439183760502026,0.06517066666666667
Food-Wholesale/Distrib,17,22.933147324213962,20.461299202856615,0.05673571428571429
Footwear&Related Apparel,3,39.55003410493827,32.03530801416048,0.08667
Forestry,2,29.079648288973388,41.091229166666665,NA
Funeral Serv&Rel Items,2,12.364261744966441,21.948925339366514,NA
Gambling (Non-Hotel),10,21.217531955660263,63.03741132481587,0.09375
Gas-Distribution,9,14.480813795075711,18.19650243807023,0.07779
Gas-Transportation,2,14.412656114426944,13.243489240454096,0.055
Gold Mining,8,11.492082362962218,13.145160916508852,NA
Hazardous Waste Disposal,1,47.52148148148149,47.52148148148149,NA
Home Decoration Products,3,12.490096872960901,15.300884331606854,0.07657
Home Furnishings,7,17.267896280729676,16.065232856527413,0.06833333333333333
Hotels&Motels,27,24.51178015542284,34.72023052500295,0.07586818181818182
Housewares,2,NA,7,NA
Human Resources,27,40.354295844970984,47.518209798979065,0.13007727272727274
Identification Sys/Dev,2,NA,30.331796657381616,NA
Industr Audio&Video Prod,1,39.60273885350318,39.60273885350318,0.29223
Industrial Automat/Robot,9,NA,21.65855873285443,0.46
Industrial Gases,4,16.479687211477476,20.029568854497057,0.06629
Instruments-Controls,6,40.19259180472991,19.058957518700378,0.06
Instruments-Scientific,5,NA,21.697963489805595,0.0475
Insurance Brokers,4,11.045769401658768,14.520784496249586,0.0225
Interior Design/Architec,3,56.196608229988726,16.41088827724692,0.015
Internet Applic Sftwr,8,NA,38.536445469374435,NA
Internet Brokers,2,45.91168566567418,43.42756849315069,NA
Internet Connectiv Svcs,4,NA,28.90203867403315,NA
Internet Content-Entmnt,6,76.52511793814433,81.44667230523532,0.03
Internet Content-Info/Ne,4,27.030007286859366,15.903999921237489,0.1698
Internet Financial Svcs,4,80.32199910380592,36.06598997312541,0.21315
Internet Gambling,3,NA,133.2403018108652,NA
Internet Incubators,1,NA,7,NA
Internet Infrastr Equip,1,NA,7,NA
Internet Infrastr Sftwr,2,21.363201035375322,97.35370289039818,NA
Internet Investment,3,280.48641221374044,113.17941610385567,0.015
Internet Security,2,NA,112.67570689655174,NA
Intimate Apparel,1,NA,7,NA
Invest Comp - Resources,2,60.59483588621444,32.234070021881834,NA
Invest Mgmnt/Advis Serv,23,32.460042853955635,34.7579560128327,0.085
Investment Companies,92,41.27344120052633,56.02118123684808,0.08333333333333334
Lasers-Syst/Components,4,NA,154.70172727272725,NA
Leisure&Rec Products,12,18.79203109066808,21.988888136039186,0.10285
Leisure&Rec/Games,1,NA,7,NA
Life/Health Insurance,20,20.617874787322556,30.979194374141976,0.05909090909090909
Lighting Products&Sys,4,18.93962578616352,33.84611466288651,NA
Lottery Services,2,35.53347961406785,200,0.1225
Mach Tools&Rel Products,13,25.43004129582126,30.60169250008618,0.08853249999999999
Machinery-Constr&Mining,9,20.135337798621485,47.65421544721966,0.045
Machinery-Electrical,9,36.804358812139334,33.20510087512986,0.1002
Machinery-Farm,3,19.828264276846376,26.296975060416937,0.1562
Machinery-General Indust,47,NA,28.99450055712546,0.1160923076923077
Machinery-Material Handl,4,30.468159475696346,26.84688445773107,NA
Machinery-Print Trade,6,NA,20.062115941210635,0.04
Machinery-Pumps,6,28.72241454462032,56.35651018643582,0.08244333333333334
Machinery-Therml Process,1,NA,7,NA
Marine Services,4,13.662244532090355,18.806075578123522,NA
Medical Imaging Systems,3,NA,27.063643240533732,0.09657500000000001
Medical Information Sys,2,29.88593336022026,27.990783132530122,0.095
Medical Instruments,11,24.899591773563362,35.45331088289263,0.11
Medical Labs&Testing Srv,4,25.484343644398233,57.059645839202396,0.021
Medical Laser Systems,3,32.166694444444445,32.34391197135568,0.2985
Medical Products,38,27.92533444302452,41.378400057772566,0.12923571428571426
Medical-Biomedical/Gene,33,NA,59.46399382375013,0.13712
Medical-Drugs,52,36.95327903847066,39.364649307500855,0.1010703846153846
Medical-Generic Drugs,4,35.21557520770189,64.576596568292,0.2721
Medical-Hospitals,9,34.38767428575984,31.216574175907624,0.0662
Medical-Nursing Homes,3,42.37421736567786,28.782846334815368,0.0225
Medical-Whsle Drug Dist,9,17.29663624554833,18.39901055614491,0.11748833333333332
Metal Processors&Fabrica,15,18.79799426056958,42.46930059525964,0.18252000000000002
Metal Products-Distrib,3,16.545477813117742,14.156686038064798,NA
Metal Products-Fasteners,7,30.901773863107245,32.48603714884839,0.111275
Metal-Aluminum,4,18.328784667864888,17.942399582681272,NA
Metal-Copper,2,107.68499737825017,7,NA
Metal-Diversified,8,24.51541121262961,54.01467877897501,0.2507
Metal-Iron,1,10.990973871733967,10.990973871733967,NA
Miscellaneous Manufactur,35,21.053129531037662,28.480782346894678,0.11838999999999998
Mortgage Banks,16,16.261196292554033,33.27292132588102,0.08375
Motion Pictures&Services,4,41.614469844357984,40.022295580831305,0.198
Multi-line Insurance,42,18.447769363729464,27.85800607099399,0.05117476190476191
Multimedia,19,55.69553460312977,34.662652970948194,0.11798583333333333
Music,3,10.78403538410687,41.48837744815668,0.01
Networking Products,5,NA,7,NA
Night Clubs,2,13.888754636233951,7.771981373690338,NA
Non-Ferrous Metals,3,32.28294675885912,29.30910149750416,0.29414999999999997
Non-hazardous Waste Disp,3,330.28516393442624,8.46047461928934,0.16704999999999998
Office Automation&Equip,6,24.098876552465608,69.73247831288089,0.043825
Office Furnishings-Orig,1,155.218756097561,155.218756097561,NA
Office Supplies&Forms,5,32.19356221797987,39.01809362786951,0.03167
Oil Comp-Explor&Prodtn,37,16.40648339804693,42.16858716621531,0.07166666666666667
Oil Comp-Integrated,17,16.576342848264566,17.742497625451833,0.04006571428571429
Oil Field Mach&Equip,4,NA,34.787469448584204,NA
Oil Refining&Marketing,7,25.989830730442012,23.562844374242644,0.08495
Oil&Gas Drilling,4,NA,7,NA
Oil-Field Services,19,66.55205751287502,19.147662118282696,0.05019416666666667
Optical Recognition Equi,2,20.700922619047617,23.96207306593879,NA
Optical Supplies,4,28.22649068774028,25.07653212871286,0.08
Paper&Related Products,37,25.04743260424205,36.79316407098623,0.0562421052631579
Petrochemicals,1,NA,7,NA
Photo Equipment&Supplies,4,10.515619019539523,11.560259556456174,0.06915
Phys Practice Mgmnt,1,5.93329573320255,5.93329573320255,0.05
Phys Therapy/Rehab Cntrs,1,NA,7,NA
Pipelines,1,10.502806083650189,10.502806083650189,NA
Platinum,1,4.437529605263158,4.437529605263158,NA
Pollution Control,1,18.25802017654477,18.25802017654477,0.08
Poultry,1,15.087935112189207,15.087935112189207,NA
Power Conv/Supply Equip,7,43.63291294567534,23.02499564467523,0.05796666666666666
Precious Metals,3,22.679270425776757,15.590690448791717,NA
Printing-Commercial,11,19.21855776925052,33.298815232483236,0.2159
Professional Sports,12,NA,14.82096526085412,NA
Property/Casualty Ins,23,14.254518602321113,8.04485931297016,0.06
Protection-Safety,4,35.97850395083407,30.723491593458817,0.055
Public Thoroughfares,13,33.20786639535309,33.220429542626924,0.11065555555555555
Publishing-Books,8,37.82402542381533,18.829123740441986,0.075775
Publishing-Newspapers,30,21.40068617519916,37.771419911447715,0.10001363636363637
Publishing-Periodicals,23,30.977570600976634,47.931696842021175,0.09101615384615384
Quarrying,5,13.240183649012021,18.887036706226663,0.7962
Racetracks,3,17.48166786830089,24.10219465021144,NA
Radio,7,55.79146398324496,52.052434042456895,0.06
Real Estate Mgmnt/Servic,114,15.495981871772127,41.36144892690088,0.07568357142857143
Real Estate Oper/Develop,80,20.350774663432645,25.738751210929998,0.10676041666666665
Recreational Centers,3,12.84501894186806,22.291936751762822,NA
Recycling,3,41.15662449425213,42.29533305571542,NA
Regional Banks-Non US,34,15.15504784236885,24.28268617350531,0.0325
Reinsurance,7,22.54852579652573,9.482364973728759,0.036334000000000005
Remediation Services,2,19.07238456375839,33.64734901302293,NA
Rental Auto/Equipment,15,10.925835251049389,12.54881589888175,0.070675
Research&Development,2,NA,7,NA
Resorts/Theme Parks,7,27.491493987111735,30.370826314769936,0.027275
Retail-Apparel/Shoe,26,26.675357779025408,27.039242263100512,0.14933454545454544
Retail-Appliances,1,31.632157962840537,7,NA
Retail-Auto Parts,2,14.836790334044066,39.28780102305816,0.16
Retail-Automobile,11,13.449472587189247,38.27949996642219,0.0789125
Retail-Bookstore,2,12.285073072193923,10.88197016017316,0.07
Retail-Building Products,5,12.206360340525466,13.847056373542085,0.06863333333333334
Retail-Catalog Shopping,3,15.280397115154415,12.530243368721495,0.08645
Retail-Computer Equip,4,45.6736960707168,12.788349241998878,0.06
Retail-Consumer Electron,8,14.566895736229105,18.569675834661627,0.11576600000000001
Retail-Convenience Store,1,28.076721273246665,7,0.03
Retail-Discount,4,12.256521330621434,8.606904316376562,0.085
Retail-Drug Store,1,8.996425979680696,8.996425979680696,0.09045
Retail-Floor Coverings,3,15.101272764269,14.734958501904927,0.15
Retail-Gardening Prod,2,9.119004531722053,9.261759179766653,NA
Retail-Home Furnishings,5,27.416691066157362,37.533299721277125,NA
Retail-Hypermarkets,2,20.83862098138748,21.083572337879886,NA
Retail-Jewelry,5,18.12800011302628,21.886970769393933,0.12041750000000001
Retail-Leisure Products,1,41.75130931458699,41.75130931458699,NA
Retail-Mail Order,2,13.656417371999447,16.292233129123346,0.1796
Retail-Major Dept Store,7,12.124990864387291,14.36719710366683,0.09409000000000001
Retail-Misc/Diversified,13,25.165856883601354,22.50191690840069,0.06391666666666666
Retail-Music Store,1,7.713602493917275,7.713602493917275,0.09
Retail-Office Supplies,1,19.849019607843136,19.849019607843136,0.1108
Retail-Pawn Shops,1,10.135964093357272,10.135964093357272,NA
Retail-Perfume&Cosmetics,3,12.946465552384835,12.99574109080492,0.055
Retail-Petroleum Prod,1,17.815804943219774,17.815804943219774,NA
Retail-Pubs,8,6.377864349518485,7.826411237384298,0.11375
Retail-Regnl Dept Store,7,15.015764545214152,31.871184098568616,0.03
Retail-Restaurants,20,12.064457201963984,47.747703266037256,0.037164
Retail-Sporting Goods,5,12.360802131999735,13.706785547098914,0.013333333333333332
Retail-Toy Store,1,16.75764084700454,7,NA
Retail-Variety Store,1,16.81566762728146,16.81566762728146,NA
Retail-Video Rental,1,5.92762292051756,5.92762292051756,NA
Retail-Vision Serv Cntr,2,17.51576347826087,18.14880788847131,0.018500000000000003
Retirement/Aged Care,1,12.798618283321703,12.798618283321703,NA
Rubber/Plastic Products,7,55.12801180189623,65.32528675944475,0.10135
Rubber-Tires,5,34.12275029147622,23.258116570238986,0.07840666666666667
Satellite Telecom,2,95.1894801980198,61.6263671875,0.13
Schools,2,18.979442612137202,18.287752601892286,0.05
Security Services,6,47.45795684784353,20.91817184292146,0.06103333333333333
Seismic Data Collection,2,NA,7,NA
Semicon Compo-Intg Circu,5,NA,76.83600061304492,0.115
Semiconductor Equipment,5,34.756982863178344,112.54075002123503,0.18
Shipbuilding,3,12.207028525172273,27.076582018681886,0.075
Soap&Cleaning Prepar,3,16.985659657384105,14.272079673137066,0.09279
Software Tools,1,NA,7,NA
Special Purpose Banks,4,14.274770181537274,16.60267453481519,0.07
Specified Purpose Acquis,20,27.495877563956217,21.956924879533414,0.3425875
Steel Pipe&Tube,4,29.13382762063228,30.185159243101452,0.16745000000000002
Steel-Producers,22,33.197312122991875,34.57594199063574,0.12269333333333333
Steel-Specialty,3,NA,32.702763730709016,NA
Storage/Warehousing,5,20.025117946695655,21.50560676068264,NA
Sugar,5,13.064806756723385,13.181580366816666,0.06667
Telecom Services,36,25.301693006631957,58.93600704969788,0.15601
Telecommunication Equip,29,1019.245165039041,41.01270496979498,0.1755669230769231
Telephone-Integrated,20,25.53131288340764,27.342771812871444,0.0451664705882353
Television,21,42.807342192376815,49.94853555484312,0.13590636363636363
Textile-Apparel,8,28.098560982958595,22.831911355653727,NA
Textile-Home Furnishings,1,42.97787418655097,42.97787418655097,NA
Textile-Products,13,17.88823042646498,34.05108347375985,0.060715000000000005
Theaters,1,61.841911764705884,61.841911764705884,0.4043
Therapeutics,2,NA,7,0.1
Tobacco,7,14.940404696055554,16.216076260259005,0.09699999999999999
Tools-Hand Held,2,174.7044994283035,16.145409266409267,NA
Toys,5,17.68197183519813,10.299298024320915,0.04353
Traffic Management Sys,1,148.74323529411762,148.74323529411762,NA
Transport-Air Freight,2,16.258317870722433,16.855595202398803,NA
Transport-Equip&Leasng,1,23.63868378812199,23.63868378812199,NA
Transport-Marine,48,14.160705291833874,28.68568186974488,0.09787499999999999
Transport-Rail,4,28.393336188436834,42.39532258741408,NA
Transport-Services,28,19.05200277373376,23.08668061159965,0.08714599999999999
Transport-Truck,3,25.78024045746962,20.616947657906227,0.07166666666666667
Travel Services,8,NA,14.794150835314287,0.07149599999999999
Venture Capital,13,55.48484204419036,36.400662831758645,0.2214
Veterinary Products,2,18.728558806319487,18.06581175683545,0.03
Virtual Reality Products,1,NA,7,NA
Vitamins&Nutrition Prod,4,31.499561573178596,42.5004880572673,NA
Water,20,17.176334366056405,17.85848059333613,0.047175555555555554
Water Treatment Systems,2,NA,62.231484375,NA
Web Portals/ISP,15,NA,67.7610559610722,0.21557500000000002
Whsing&Harbor Trans Serv,6,11.077617636705,13.602436853516915,0.052750000000000005
Wire&Cable Products,8,28.485674861395207,59.82170793794874,0.23609000000000002
Wireless Equipment,10,109.81540934586849,56.642286799968396,0.015933333333333338
X-Ray Equipment,2,NA,116.50485436893203,NA
(blank),5,148.2044222222222,32.75708518518518,NA
Circuit Boards,1,NA,7,NA
Rubber&Vinyl,1,8.520418777943368,8.520418777943368,NA
E-Marketing/Info,1,22.048145539906105,22.048145539906105,NA
Food-Canned,1,13.115384615384615,13.115384615384615,NA
REITS-Diversified,8,13.99876270735488,15.967699921642607,NA
REITS-Office Property,3,14.715243914667143,16.61121151936445,0.074175
REITS-Apartments,2,34.505665890967,7,NA
REITS-Shopping Centers,3,20.010709709216364,19.386145262641136,0.00215
Commodity-Alter Inv,1,NA,7,NA
REITS-Warehouse/Industr,2,14.103599467731206,15.8986011085109,NA
Motorcycle/Motor Scooter,2,29.42024371667936,108.5427807486631,NA
Garden Products,1,11.269456635318702,11.269456635318702,NA
Medical-Outptnt/Home Med,2,NA,25.882971098265898,0.02
Extended Serv Contracts,1,16.45753937007874,16.45753937007874,0.04
Diamonds/Precious Stones,4,NA,200,NA
Dental Supplies&Equip,1,NA,7,NA
Telecom Eq Fiber Optics,2,NA,7,0.04
Patient Monitoring Equip,1,NA,7,NA
Finance-Investment Fund,1,127.15663636363637,127.15663636363637,NA
Superconductor Prod&Sys,1,NA,7,NA
Dialysis Centers,2,21.300397682639435,23.28989960917749,0.15201499999999998
Grand Total,3679,23.444990248901124,31.377371892601285,0.09705764565043891
