Company Name,Price,DCf Model,DCf Value,Multiple used,Relative Value,Option Value,Recommendation
Greene King,10.77,FCFF2,11.76,PE,12.52,,Buy
Guess Inc.,40.9,FCFF2,27.62,PS,28.62,,Sell
Hansen Natural,38.65,HiGrowth,35.67,EV/Sales,37.29,,Sell
Hansen Naturals,38.98,FCFF3,49.09,Value/Sales,43.51,,Buy
Harmony Gold,14.13,FCFFGen,13.610457325594833,EVS,35.160180812182745,8.658487525133838,SELL
"Harrah's Entertainment, Inc",85.4,FCFF2,65.07,EV/EBITDA,43.38,,Sell
"Harrah's Entertainment, Inc.",85.4,FCFF2,79.5,,43.5,,Hold
Hearst-Argyle Television Inc. ,27.62,FCFF2,28.66,EV/EBITDA,28.02,,Buy
Hite Brewery,128500,FCFFSt,82195,EV/Sales,99616,,Sell
Hologic,58.38,FCFE3,58.67,PBV,32.01,,Hold
HomeBanc Corp.,2.88,FCFE - my own,5.77,EV/Sales,1.48,,Buy
Iberdrola,36.55,FCFF2,38.16,Price/BValue,2.83,,Sell
IGT,38.97,FCFE2,43.86,EV/EBITDA,45.02,,Buy
Iliad,75.41,HiGrowth,76.93,EV/Sale,64.41,,Hold
Inditex,45.21,FCFE3,46.19,EV/S,35.86,,Hold
Infospace Inc (USA),25.75,FCFF2,20.11,PS,24.59,,Sell
Infosys,2006.2,FCFF2,1180,PE,41.53,,SELL
Infosys Technologies,2055.25,FCFF2,1534.0024565131453,PE,1432.8197599999999,,Sell
Intuitive Surgical,133.73,FCFF3,72.29,PS,69,,Sell
ITG,38.11,DDM3,54.56,PBV,53.54,,Buy
"Itron, Inc.",71.04,FCFF - my own,70.88,EV/Sales,80,,Buy
Ituran Location and Control,13.9,FCFF3,14.91,EV/S,9.48,,Buy
J. Crew,41.63,FCFF3,30.03,PS,31,,Hold
Japan Air Line,236,FCFFSt,464,EV/EBITDA,202.5635,585.58,Buy
Japan Airlines,236,FCFF2,176.2,VS,59.88,,Sell
JetBlue,10.3,FCFF2,12.03,EV/EBITDA,,,Buy
"Jos. A. Banks Clothiers, Inc.",39.88,FCFF2,35.84,EV/S,38.67,,Sell
Kapco,62,Gordon Growth Model ,30.9,P/BV,,,Sell
Krispy Kreme,10.25,FCFF3,2.02,VS,11.35,3.69,Sell
LAN Airlines,73.61,FCFF2,54.2,EV/EBITDA,64.83,,Sell
Lazard,54.5,DDMSt,18.69,PBV,67.13,,Sell
LCA-Vision Inc.,42.42,FCFE3,34.05,P/S,32.1,,Sell
Lear Corp,35.73,FCFF2,43.45,VS,48,40.02,Buy
Lehman Brothers,76.13,DDM2,104.13,PBV,208,,Buy
Lehman Brothers,76.98,DDM2,49.27,PBV,100.14,,BUY
Lindt (LISP),3373,FCFF2,2099.6906487109413,PE,2157.303901047986,,Sell
LVMH,85.72,FCFE3,61.74,Average Price/Sale,57.39,,Sell
Martha Stewart,18.05,FCFFGen,29.93,PS,40.15,,Buy
MediaTek Inc. ,343,FXFE3,349.06,PS,332.26,,Sell
MEMC (USA),57.54,HiGrowth,24.86,EV/Cap,60.14,,Sell
Merck,51.86,FCFE2,45.64,EV/EBITDA,10.78,,Sell
Merrill Lynch,90.11,DDM2,89.05,PBV,89.65,,Sell
MGM Mirage,69.84,FCFF2,66.6,VEBITDA,62.02,,Sell
Midwest Air Group,13.88,FCFF-n,18.74,EV/EBITDA,13.29,21.53,Buy
mixi,1670000,FCFF3,1487029.8360707362,P/E,1859663.7179703258,,Sell
Mobile Telesystems,56.98,FCFF2,68.84,PBV,72.2,,Buy
Motorola,17.57,FCFF2,31.38,EV/S,52.67,,Buy
Motorola,17.57,FCFF2,18.86,EV/EBITDA,20.91,,Buy
Movie Gallery Inc,3.54,FCFF3,3.15,Value/Book Value,1.09,,Sell
Movie Gallery Inc,3.54,FCFF3,3.15,Value/Book Value,1.09,,Sell
National City Corporation,37.7,DDM1,33.83,PBV,45.49,,Buy
Net Servicos,14.95,FCFF3,11.995894826078427,VEBITDA,12.784765822301582,,Sell
Netflix,21.7,FCFF3,21.75,VS,66.81,,Buy
Netflix,22.16,FCFF3,31.8,EV/Sales,42.1,,Buy
Netflix,22.1,FCFF3,31.78,EV/Sales,25.33,,Buy
Netflix,22.21,HiGrowth,15.82,PE,17.07,,Sell
Netflix ,22.21,HiGrowth,32.4,VS,24.31,,Buy
"Netflix, Inc.",22.21,FCFF2,20.71,EV/EBITDA,54.77,,Hold
New York Times,23.48,FCFF2,22.9,EV/EBITDA,13.6,,Sell
NewsCorp,23.52,FCFF2,20.26,EV / EBITDA,21.96,20.86,SELL
Nordstrom ,56.12,FCFF2,40.53,VS,38.36,,Sell
OJSC Rosneft Oil Company,8.9,FCFF2,6.69,EV/EBITDA,8.22,,Sell
Overstock,19.24,HiGrowth,16.88,EV/Sales,29.39,,Sell
Overstock.com,18.19,FCFF2,25.62,VS,22.77,,BUY
Overstock.com,19.1,FCFF3,14.12,VS,0,,Sell
Owens Corning,31.52,FCFF2,44.94,VS,42.47,,Buy
Pacific Ethanol,15.01,HiGrowth,14.21,PBV,28.1,,Hold
Panera Bread Co.,56.8,FCFF3,64.17,VS,58.22,,Buy
Parkway Holdings,3.7,FCFF2,3.21,PE,4.6,,SELL
PepsiCo,66.41,FCFF2,75.42,VS,68.2,,Buy
Pier One Inc,9.32,FCFFGINZU,7.62,PE,-11.205137158794711,,Sell
Playboy,9.81,FCFF3,3.45,VEBITDA,6.8,,Sell
Porsche,1225.24,FCFF2,2986.59,PE,1586.3,,Buy
Powertech Technology,122.5,FCFF3,166.85,PE,122.15,,BUY
Quilmes Industrial S.A.,71.24,FCFF2,65.86,EV/EBITDA,79.3,,Sell
Redhook Ale Brewery Inc.,6.8,HiGrowth,5.78,VS,14.83,,Sell
Research in Motion,134.37,FCFE - n,120.01,PEG,228.35,,Sell
Research in Motion,134.75,FCFF3,90.15,PEG,132.79,,Sell
Research In Motion,134.75,FCFE Ginzu,110.08,EV/EBITDA,132.39,,Sell
RIMM,134.75,FCFE3,126.64252959952857,P/E,103.17387071110001,,Sell
Rocky Brands,11.48,FCFF3,29.54,PE,32.72,,Buy
Rolta India Ltd.,9.19,FCFF3,11.4,EV/Sales,6.9,,BUY
RR,4.71,FCFF2,4.71,EV/S,4.51,7.65,Buy
RR,4.71,FCFF2,4.71,EV/S,4.51,,Buy
Ryan Air,12.35,FCFF2,7.47,VEBITDA,17.06,,Sell
SABMiller,23.65,FCFFSt,18.68,EV/Sales,11.69,,Sell
Sainsbury,568.5,FCFE3,490.58,EV/EBITDA,345.3,,Sell
Samsung,616.04,FCFE3,614.65,PE,1610.56,,Hold
Samsung Petrochemical,41.77,FCFF2,41.77,VB,44.66,,Private
SBA Communications,30.53,FCFF2,26.5,EV/EBITDA,25.86,34,Sell
Sepracor,55.09,FCFE3st,61.87,PEG,83.37,,Buy
SGL Carbon,28.79,FCFE2,15.47,PE,17.65,,Sell
Siemens AG,90.35,FCFF2,68.38,PE,65.07,,Sell
Singapore Airlines,17.6,FCFF2,25.96,PE,20.6,,Buy
Sirius,3.04,HiGrowth,6.62,EV/Sales,8.95,,Buy
Sirius Satellite Radio,3.63,HiGrowth,6.6,PS,8.98,7.32,Buy
"Sirius Satellite Radio, Inc.",3.04,HiGrowth,3.3,EV/Sales,4.61,2.87,Buy
Skywest,27.48,FCFF3,41.16,PE,44.92,,BUY
SkyWest,27.5,FCFE3,29.83,EV/IC,43.78,,Buy
Sony Corp (SNE),55.22,FCFE,25.3,PE,21.02,,Sell
Sony Corp.,6393.25,FCFFGINZU,9370.98,PE,3112.28,,Buy
Starbucks,31.84,FCFF3,16.18,PS,29.91,,Sell
Starbucks,31.5,FCFF3,17.64,VS,20.04,,Sell
Starwood Hotels,68.99,FCFF2,54.71,VS,44.75,,Sell
Sungchang F&D,0.47,FCFESt,0.47,PBV,0.98,,Private
SunPower Corporation,59.55,FCFF3,50.78,EV/BV,62.81,,Sell
SunPower Corporation,59.05,HiGrowth,39.96,VS,11.84,,Sell
Superior Industries Int'l,23.4,HiGrowth,16.34,PS,32.91,,Sell
Take Two Interactive,19.5,fcffgen,17.27,P/S,22.31,,Sell
"Tempur-Pedic Int'l, Inc.",26.18,FCFF2,36.64,PBV,25.29,,Buy
Tencent,25.65,FCFF3,18.43,PEG,29.6,,Sell
Texwinca Holdings Ltd.,5.6,FCFF3,4.31,P/E,4.21,,Sell
The Gap Inc,18.6,FCFFGINZU,14.72,PE,34.94730210301007,,Sell
The home depot,38.47,FCFE3,40.1,PE,47.6,,Buy
The Knot,21.18,FCFF2,19.21,Forward PE,19.13,,SELL
The Nasdaq Stock Market,32.91,DDM2,35.63,PBV,57.82398335183839,,Buy
Tiffany & Co.,48.45,FCFF2,31.46,EV/Sales,45.16,,Sell
Tivo,6.39,FCFF2,6.92,P/S,6.51,,Buy
TiVo,6.87,FCFF3,5.77,,,,Sell
TiVo,6.38,FCFF2,2.8,EV/Sales,3.85,,Sell
Tivo,6.48,HiGrowth,3.78,EV/Sales,2.64,,Sell
Tivo Inc,6.38,HiGrowth,4.28,VS,3.84,,Sell
Toll Brothers,29.07,FCFF3,43.46,PE,25.66,,Buy
Toyota,122.29,FCFF2,94,EV/EBIT,79.44,,Sell
Toyota Motor Corporation,7320,FCFF2,7108.1,EV / EBITDA,6803.4,,Sell
Toyota Motor Corporation,7320,FCFF2,7108.1,EV/EBITDA,6803.4,,Sell
Trimble Navigation,29.26,FCFF2,29.9,PEG,13.72,,Hold
Trinity Industries,46.78,FCFF2,56.7,EV/EBITDA,26.35,,Buy
TVN S.A.,27.3,FCFF2,17.28,EV/Sales,16.3,,Sell
Under Armour,51.49,FCFF2,19.38,VS,29.87,,Sell
Under Armour Inc.,50.1,HiGrowth,30.95,VEBITDA,14.75,,SELL
United Retail Group,14.05,FCFF2,13.22,PE,16.9,,Hold
United States Steel Corp.,103.93,FCFF2,137.29,Trailing PE,72.83,,Buy
USANA HEALTH SCIENCES,42,FCFF3,53.15,EV/SALES,48.73,,Buy
"UST, Inc",59.69,FCFF2,64.85,VEBITDA,77.13,,Buy
Vonage,5.21,FCFF2,7.93,EV/Sales,13.91,5.15,HOLD
Vonage,5.21,FCFF2,7.93,EV/Sales,13.91,5.15,HOLD
Vornado Realty Trust,121.18,FCFE - n,101.13,PEG,89.37,,Sell
Wal mart,48.34,FCFE2,44.32,VS,66.34,,Sell
Wal-Mart,48.7,FCFE2,37.33,EV/Sales,34.79,,Sell
WebMD,53.52,FCFF2,58.13,PEG,11.7,,Sell
Wells Fargo,35.94,DDM2,41.54,PBV,31.58,,Buy
Whole Foods,47.51,FCFE3,42.23,EV/S,43.48,,Sell
Whole Foods Market,47.51,FCFE2,38.99,VS,42.1,,Sell
Wholefoods Market,47.51,FCFE2,38.99,VS,42.1,,Sell
Williams-Sonoma,33.83,FCFF2,33.41,VS,38.23,,Buy
"Williams-Sonoma, Inc.",35.67,FCFE2,26.82,EV/Sales,1.05,,Sell
Winn Dixie,18,FCFEst,42.62,TEV/Sales,10.85,5.35,Sell
Woolworths Holdings Ltd,19.6,FCFF2,33.42,PS,19.79992,,Buy
XM Satellite Radio,11.88,FCFF2,0.06,EV/Sales,,3.21,Sell
XM Satellite Radio,11.01,HiGrowth,9.47,VS,-0.89,,Sell
XM Satellite Radio,11.65,HiGrowth,9.81,VS,6.78,9.03,Sell
"XM Satellite Radio Holdings, Inc.",11.98,HiGrowth,11.17,EV/Sales,15.81,,Hold
Zymogenetics,15.26,HiGrowth,17.21,PS,32.1,,Buy
