Country,GDP (in billions),Country Name,2016 (in billions)
Singapore,296.98,"Korea, Dem. People’s Rep.",0
Slovakia,89.77,"Korea, Rep.",1411.24558997663
Slovenia,44.71,Kosovo,6.6498888888888885
South Africa,295.46,Kuwait,110.87557908669754
Spain,1237.26,Kyrgyz Republic,6.5512879376263164
Sri Lanka,81.32,Lao PDR,15.903329472990356
St. Maarten,1.5,Late-demographic dividend,18455.074977717468
St. Vincent & the Grenadines,0.77,Latin America & Caribbean,5299.865625774022
Suriname,3.28,Latin America & Caribbean (excluding high income),4853.042525000344
Swaziland,3.72,Latin America & the Caribbean (IDA & IBRD countries),5094.1643852665675
Sweden,514.46,Latvia,27.57269848187662
Switzerland,668.85,Least developed countries: UN classification,940.7343695373943
Taiwan,970.9,Lebanon,49.59882598215587
Tajikistan,6.95,Lesotho,2.29132166748246
Thailand,407.03,Liberia,2.101
Trinidad and Tobago,21.89,Libya,0
Tunisia,42.06,Liechtenstein,0
Turkey,863.71,Lithuania,42.738875963370305
Turks and Caicos Islands,1.5,Low & middle income,27299.380819539907
Uganda,24.08,Low income,402.5241190287935
Ukraine,93.27,Lower middle income,6263.372909106608
United Arab Emirates,348.74,Luxembourg,58.63132455944844
United Kingdom,2647.9,"Macao SAR, China",44.80264182992651
United States of America,18624.48,"Macedonia, FYR",10.899583154649868
Uruguay,52.42,Madagascar,10.001193420151806
Venezuela,250,Malawi,5.433038646516766
Vietnam,205.28,Malaysia,296.53593038112
Zambia,21.06,Maldives,4.224209599229172
,,Mali,14.034980333661492
,,Malta,10.999047580388098
,,Marshall Islands,0.1944979
,,Mauritania,4.739298730308373
,,Mauritius,12.168437744264427
,,Mexico,1046.922702460874
,,"Micronesia, Fed. Sts.",0.3298956
,,Middle East & North Africa,3144.7976912728454
,,Middle East & North Africa (excluding high income),1453.9010293362298
,,Middle East & North Africa (IDA & IBRD countries),1440.2445000231414
,,Middle income,26897.06918075282
,,Moldova,6.749515654644195
,,Monaco,0
,,Mongolia,11.183458130808294
,,Montenegro,4.3741272123893795
,,Morocco,103.60632169258221
,,Mozambique,11.014858591842174
,,Myanmar,63.22509705125499
,,Namibia,10.947880690471012
,,Nauru,0.10206012957705468
,,Nepal,21.131983246185538
,,Netherlands,777.2275415813072
,,New Caledonia,0
,,New Zealand,184.96914662447014
,,Nicaragua,13.230844686857958
,,Niger,7.528387858347386
,,Nigeria,404.6527201648585
,,North America,20160.29640646904
,,Northern Mariana Islands,1.2419999999999998
,,Norway,371.0761904761905
,,Not classified,0
,,OECD members,47552.6220051242
,,Oman,66.2933680104031
,,Other small states,362.0795124861652
,,Pacific island small states,9.01965148834122
,,Pakistan,278.9133712020655
,,Palau,0.3102482999999999
,,Panama,55.1877
,,Papua New Guinea,20.213214171720395
,,Paraguay,27.424071382724442
,,Peru,192.20734200468132
,,Philippines,304.9054068452914
,,Poland,471.36440871395604
,,Portugal,204.83659790946564
,,Post-demographic dividend,45213.30947525005
,,Pre-demographic dividend,1207.7876971870828
,,Puerto Rico,0
,,Qatar,152.45192307692307
,,Romania,187.59203783996847
,,Russian Federation,1283.1629859893014
,,Rwanda,8.376048904582905
,,Samoa,0.78635631480277
,,San Marino,1.5907079646017699
,,Sao Tome and Principe,0.3427817155204801
,,Saudi Arabia,646.43838056
,,Senegal,14.683697630899982
,,Serbia,38.29985468812765
,,Seychelles,1.4273238890960969
,,Sierra Leone,3.7365885535639385
,,Singapore,296.9756786102063
,,Sint Maarten (Dutch part),0
,,Slovak Republic,89.76859802339031
,,Slovenia,44.70859864885624
,,Small states,437.8037221438003
,,Solomon Islands,1.202125
,,Somalia,6.217
,,South Africa,295.45618949200474
,,South Asia,2892.4807631794692
,,South Asia (IDA & IBRD),2892.4807631794692
,,South Sudan,0
,,Spain,1237.2550196538587
,,Sri Lanka,81.32187630725565
,,St. Kitts and Nevis,0.9098546195185185
,,St. Lucia,1.6670787037037036
,,St. Martin (French part),0
,,St. Vincent and the Grenadines,0.7682242266666665
,,Sub-Saharan Africa,1512.5960441614152
,,Sub-Saharan Africa (excluding high income),1511.168024853823
,,Sub-Saharan Africa (IDA & IBRD countries),1512.5960441614152
,,Sudan,95.58438003220611
,,Suriname,3.278425328324182
,,Swaziland,3.7206493745751184
,,Sweden,514.4599728061713
,,Switzerland,668.8512962442358
,,Syrian Arab Republic,0
,,Tajikistan,6.951657158900928
,,Tanzania,47.34007110734297
,,Thailand,407.02612731043394
,,Timor-Leste,1.7829739999999998
,,Togo,4.3999959865647735
,,Tonga,0.4015620062299671
,,Trinidad and Tobago,21.89470604123526
,,Tunisia,42.06254939478585
,,Turkey,863.7117104265141
,,Turkmenistan,36.17988571428571
,,Turks and Caicos Islands,0
,,Tuvalu,0.03421887843908407
,,Uganda,24.078931933457806
,,Ukraine,93.27047938852427
,,United Arab Emirates,348.743265704561
,,United Kingdom,2647.8986546352385
,,United States,18624.475
,,Upper middle income,20623.85630126627
,,Uruguay,52.41972071373157
,,Uzbekistan,67.2203355696147
,,Vanuatu,0.7735028959276018
,,"Venezuela, RB",0
,,Vietnam,205.2761721349014
,,Virgin Islands (U.S.),0
,,West Bank and Gaza,13.397099999999998
,,World,75845.1093815905
,,"Yemen, Rep.",27.31760534607143
,,Zambia,21.06398968252429
,,Zimbabwe,16.6199604019038
