Industry,Number of firms,Price/Sales,Net Margin,EV/Sales,After-tax Operating Margin
Advanced Materials/Prd,2,1.7696931012187291,0.017098156154552385,2.007759805039334,0.03585879035990315
Advertising Agencies,2,0.9399752360315741,-0.029871536913790433,0.9231047825414022,0
Advertising Sales,6,1.6592408669678569,0.06848811420625346,1.798784639068255,0.07709071061162147
Advertising Services,22,1.3810360729802453,0.03679923053493632,1.5214793495718992,0.041412661740052495
Aerospace/Defense,8,1.0668720432050955,0.0534388939024817,1.213950341107947,0.04483730879667697
Aerospace/Defense-Equip,12,0.9429497177479913,0.0577914835967727,1.1121219525739598,0.05342195884256647
Agricultural Biotech,2,10.484158809891808,0.21550663941101195,10.416152627511591,0.1791485931761147
Agricultural Chemicals,2,0.6991936295089702,0.03676221621724165,1.0241044475024426,0.04095783492883702
Agricultural Operations,26,5.639735142000759,0.14574200019228833,5.831877295564223,0.11563988043051779
Airlines,14,0.9548769381304579,0.021132748050834642,1.348363714557603,0.029565829251397717
Airport Develop/Maint,8,2.7425842604106387,0.11435234658497655,4.058599168070426,0.116916200429566
Apparel Manufacturers,23,1.2888043518348788,0.041074464254683016,1.4296858479994001,0.05258439757366195
Appliances,13,0.9068235884928855,0.047301433809476205,0.9339318492582804,0.05653810211248018
Applications Software,40,3.2754733518853145,-0.02770640854846655,3.1668722637477567,-0.0070209438424995215
Athletic Equipment,3,0.7907750070276638,0.03161564946670225,1.022617688175665,0.045453736374209575
Athletic Footwear,2,1.653657015526116,0.09045313040425162,1.6654372710298482,0.09505768038994837
Auction House/Art Dealer,4,7.106164999861194,0.03758323722440984,7.383217368469412,-0.43289095498977737
Audio/Video Products,7,0.8858388956239001,0.02912053227782082,0.9345643816255436,0.032483870669099024
Auto/Trk Prts&Equip-Orig,22,1.6080567035283222,-0.015650774577492182,1.757686859111799,-0.005702467459975423
Auto/Trk Prts&Equip-Repl,3,0.9528475132807676,0.037707990809486815,1.125575273755106,0.0433620658674532
Auto-Cars/Light Trucks,10,0.3209773973811525,0.012128032664289546,0.6397662040524722,0.014719461992261193
Auto-Med&Heavy Duty Trks,6,0.741762749299092,0.031703940364791905,1.1123438642920565,0.03862430312831079
B2B/E-Commerce,2,3.820338089526982,-0.18009296226741575,3.2283195732720786,-0.11272706470370658
Batteries/Battery Sys,3,0.6664866779144768,0.005990655387680785,0.4719105589526791,-0.0020482968836277823
Beverages-Non-alcoholic,8,0.8534551532003636,0.05076197449714701,0.9268217025897821,0.03936467568108891
Beverages-Wine/Spirits,26,2.4522548801123176,0.08952821982200655,3.146295102822532,0.08493327428697976
Bicycle Manufacturing,2,0.6567521272841955,0.015850542164514123,0.9175209948067731,0.046100050370929985
Bldg Prod-Air&Heating,7,1.0573584640348652,0.045284550874533945,1.1384852523548876,0.05003378725150493
Bldg Prod-Cement/Aggreg,32,1.1755804531265197,0.07802172497944432,1.4981856102230788,0.08427666119422449
Bldg Prod-Doors&Windows,4,1.0596947955519787,0.045661918991944515,1.2122373592008366,0.042125633723792265
Bldg Prod-Wood,5,0.543176547143997,-0.012494468811990535,0.7558379912104872,0.0038040016041358607
Bldg&Construct Prod-Misc,32,1.2672180964280673,0.030821070781805182,1.3534760357397133,0.03527924267761496
Bldg-Mobil Home/Mfd Hous,5,0.794252015882555,0.13231568948181685,0.6836338188177253,0.10550944850930688
Bldg-Residential/Commer,18,0.9829952328015723,0.1604998870470461,1.119598748736033,0.11927054391091607
Brewery,39,1.9590367353608094,0.0878552407265432,2.249343453469944,0.09319310982037306
Broadcast Serv/Program,11,3.381833482191112,-0.02859842620250276,3.752820873890988,0.03644532124590358
Building&Construct-Misc,33,0.6179499687911848,0.03271167075260552,0.7756957062065065,0.02502629482137436
Building-Heavy Construct,42,0.6768935208643937,0.03705917867891248,0.9358737196217123,0.05459455900571288
Building-Maint&Service,2,0.903572442476682,0.035046046702228294,0.9084149678593698,0.022883868025287593
Cable TV,3,1.6188060199582022,-0.31444732001996756,3.6227191107698786,-0.04380293346220849
Casino Hotels,6,1.2888986779268932,-0.0061234638509170955,1.8758747654393193,0.01769491469611621
Casino Services,1,1.7311154781957703,0.1405577390978851,2.6696019714267893,0.08200626364713956
Cellular Telecom,11,2.6221643158563,0.09540795585250353,2.929657143715476,0.11223893301959711
Central Bank,3,1.2161646880296342,0,5.1110161320821055,0.17919256262593167
Ceramic Products,5,1.0738145068328815,0.07310239224385946,1.3555113485991943,0.06385788024664027
Chemicals-Diversified,21,2.0032598795159053,-0.010495206486784243,2.2458895728978754,-0.0069933796552359585
Chemicals-Fibers,3,0.4962138824875242,-0.007242938090371622,0.8071330332776231,0.0178247394280063
Chemicals-Other,2,1.1135491356855316,0.023111532086194646,1.1474113189675585,0.033489197253137586
Chemicals-Plastics,11,3.6773844426097115,-0.07501753041247469,3.827528332867049,-0.05215025093083281
Chemicals-Specialty,20,0.9956076005681073,0.027764751287762884,1.2585304148471879,0.04697187564080416
Closed-end Funds,2,7.437633959638135,0,7.182936673625609,0.07024300626304802
