Country,GDP (in millions) in 2023,Country Name,GDP in 2023,Country,GDP (in millions) in 2022
Latvia,43627.07848128705,Guinea,23612.295818096096,Latvia,43627.07848128705
Lebanon,17937.25617514098,Guinea-Bissau,1966.4614003583265,Lebanon,17937.25617514098
Liechtenstein,7364.654515139836,Guyana,16786.30215827338,Liechtenstein,7364.654515139836
Lithuania,77836.39696277196,Haiti,19850.829757747146,Lithuania,77836.39696277196
Luxembourg,85755.00612359759,Honduras,34400.50985204365,Luxembourg,85755.00612359759
Macao,47061.843715856485,"Hong Kong SAR, China",382054.57429852907,Macao,0
Macedonia,14761.237042205697,Hungary,212388.90645872394,Macedonia,0
Malaysia,399648.82854650426,Iceland,31020.032583197215,Malaysia,399648.82854650426
Maldives,6600,India,3549918.918777532,Maldives,6600
Mali,20904.898296250143,Indonesia,1371171.152331155,Mali,20904.898296250143
Malta,20956.999452431664,"Iran, Islamic Rep.",401504.5147187182,Malta,20956.999452431664
Mauritius,14397.127281382942,Iraq,250842.78213946417,Mauritius,14397.127281382942
Mexico,1788886.8210468132,Ireland,545629.4504037352,Mexico,1788886.8210468132
Moldova,16539.436547294972,Isle of Man,0,Moldova,16539.436547294972
Mongolia,19872.1803696275,Israel,509901.49570210325,Mongolia,19872.1803696275
Montenegro,7404.541964507792,Italy,2254851.2127318047,Montenegro,7404.541964507792
Montserrat,16199,Jamaica,19423.355367237178,Montserrat,16199
Morocco,141109.37320941436,Japan,4212945.159781403,Morocco,141109.37320941436
Mozambique,20624.597846549506,Jordan,50813.64234867464,Mozambique,20624.597846549506
Namibia,12351.024843746696,Kazakhstan,261421.1210855721,Namibia,12351.024843746696
Netherlands,40908.07336684552,Kenya,107440.57583804752,Netherlands,1118124.7498862941
New Zealand,1118124.7498862941,Kiribati,279.03435510842144,New Zealand,253465.70323214593
Nicaragua,253465.70323214593,"Korea, Dem. People's Rep.",0,Nicaragua,17829.215283799655
Niger,17829.215283799655,"Korea, Rep.",1712792.8542023688,Niger,16819.17042056532
Nigeria,16819.17042056532,Kosovo,10438.351483167697,Nigeria,362814.95169607276
Norway,362814.95169607276,Kuwait,161772.22195094163,Norway,485513.3165036304
Oman,485513.3165036304,Kyrgyz Republic,13987.627908838138,Oman,108192.4577373212
Pakistan,108192.4577373212,Lao PDR,15843.15573125518,Pakistan,338368.4553178758
Panama,338368.4553178758,Latvia,43627.07848128705,Panama,83382.4
Papua New Guinea,83382.4,Lebanon,17937.25617514098,Papua New Guinea,30932.496249791653
Paraguay,30932.496249791653,Lesotho,2046.03902445854,Paraguay,42956.26354394817
Peru,42956.26354394817,Liberia,4332,Peru,267603.2486552527
Philippines,267603.2486552527,Libya,50491.7224457773,Philippines,437146.37272994244
Poland,437146.37272994244,Liechtenstein,7364.654515139836,Poland,811229.1006875663
Portugal,811229.1006875663,Lithuania,77836.39696277196,Portugal,287080.0135744972
Qatar,287080.0135744972,Luxembourg,85755.00612359759,Qatar,235770.4037349
Ras Al Khaimah (Emirate of),235770.4037349,"Macao SAR, China",47061.843715856485,Ras Al Khaimah (Emirate of),11000
Romania,11000,Madagascar,16031.702914919531,Romania,351002.57962967013
Russia,351002.57962967013,Malawi,14084.341062367504,Russia,0
Rwanda,2021421.476035417,Malaysia,399648.82854650426,Rwanda,14097.76864766952
Saudi Arabia,14097.76864766952,Maldives,6600,Saudi Arabia,1067582.9333333333
Senegal,1067582.9333333333,Mali,20904.898296250143,Senegal,31013.986429186058
Serbia,31013.986429186058,Malta,20956.999452431664,Serbia,75187.12542673755
Sharjah,75187.12542673755,Marshall Islands,284,Sharjah,24800
Singapore,24800,Mauritania,10452.57706275806,Singapore,501427.5000800585
Slovakia,501427.5000800585,Mauritius,14397.127281382942,Slovakia,0
Slovenia,132793.62228307096,Mexico,1788886.8210468132,Slovenia,68216.78141052277
Solomon Islands,68216.78141052277,"Micronesia, Fed. Sts.",460,Solomon Islands,1631.2867011151561
South Africa,1631.2867011151561,Moldova,16539.436547294972,South Africa,377781.6009858731
Spain,377781.6009858731,Monaco,8784.002931686646,Spain,1580694.712515714
Sri Lanka,1580694.712515714,Mongolia,19872.1803696275,Sri Lanka,84356.86042112995
St. Maarten,84356.86042112995,Montenegro,7404.541964507792,St. Maarten,11900
St. Vincent & the Grenadines,11900,Morocco,141109.37320941436,St. Vincent & the Grenadines,8100
Suriname,8100,Mozambique,20624.597846549506,Suriname,3782.437296043229
Swaziland,3782.437296043229,Myanmar,64815.031669095246,Swaziland,0
Sweden,4597.855845042758,Namibia,12351.024843746696,Sweden,593267.7010334082
Switzerland,593267.7010334082,Nauru,154.12779819354142,Switzerland,884940.4022304089
Taiwan,884940.4022304089,Nepal,40908.07336684552,Taiwan,761690
Tajikistan,791610,Netherlands,1118124.7498862941,Tajikistan,12060.602008847782
Tanzania,12060.602008847782,New Caledonia,9623.318718314595,Tanzania,79158.28633352398
Thailand,79158.28633352398,New Zealand,253465.70323214593,Thailand,514944.99383357755
Togo,514944.99383357755,Nicaragua,17829.215283799655,Togo,9171.261835062642
Trinidad and Tobago,9171.261835062642,Niger,16819.17042056532,Trinidad and Tobago,28139.944790291105
Tunisia,28139.944790291105,Nigeria,362814.95169607276,Tunisia,48529.59541665326
Turkey,48529.59541665326,North Macedonia,14761.237042205697,Turkey,0
Turks and Caicos Islands,1108022.373259511,Northern Mariana Islands,0,Turks and Caicos Islands,1402.05439094734
Uganda,1402.05439094734,Norway,485513.3165036304,Uganda,49272.882213623
Ukraine,49272.882213623,Oman,108192.4577373212,Ukraine,178757.02138680895
United Arab Emirates,178757.02138680895,Pakistan,338368.4553178758,United Arab Emirates,504173.45132743364
United Kingdom,504173.45132743364,Palau,263.020733717011,United Kingdom,3340032.3806680357
United States of America,3340032.3806680357,Panama,83382.4,United States of America,0
Uruguay,27360935,Papua New Guinea,30932.496249791653,Uruguay,77240.83158716696
Uzbekistan,77240.83158716696,Paraguay,42956.26354394817,Uzbekistan,90889.14930673127
Venezuela,90889.14930673127,Peru,267603.2486552527,Venezuela,98400
Vietnam,98400,Philippines,437146.37272994244,Vietnam,408802
Zambia,429716.9690495928,Poland,811229.1006875663,Zambia,28162.6309539285
,28162.6309539285,Portugal,287080.0135744972,,
,,Puerto Rico,117902.3,,
Algeria,,Qatar,235770.4037349,Algeria,239899.49112774237
Brunei,239899.49112774237,Romania,351002.57962967013,Brunei,14010
Gambia,14010,Russian Federation,2021421.476035417,Gambia,2038
Guinea,2339.904156792144,Rwanda,14097.76864766952,Guinea,23612.295818096096
Guinea-Bissau,23612.295818096096,Samoa,934.1003362756538,Guinea-Bissau,1966.4614003583265
Guyana,1966.4614003583265,San Marino,0,Guyana,16786.30215827338
Haiti,16786.30215827338,Sao Tome and Principe,603.2407489542067,Haiti,19850.829757747146
Iran,19850.829757747146,Saudi Arabia,1067582.9333333333,Iran,0
"Korea, D.P.R.",401504.5147187182,Senegal,31013.986429186058,"Korea, D.P.R.",28500
Liberia,28500,Serbia,75187.12542673755,Liberia,4332
Libya,4332,Seychelles,2141.4501711393214,Libya,50491.7224457773
Madagascar,50491.7224457773,Sierra Leone,3809.8322369595935,Madagascar,16031.702914919531
Malawi,16031.702914919531,Singapore,501427.5000800585,Malawi,14084.341062367504
Myanmar,14084.341062367504,Sint Maarten (Dutch part),1623.1656831284915,Myanmar,64815.031669095246
Sierra Leone,64815.031669095246,Slovak Republic,132793.62228307096,Sierra Leone,3809.8322369595935
Somalia,3809.8322369595935,Slovenia,68216.78141052277,Somalia,11679.800110152268
Sudan,11679.800110152268,Solomon Islands,1631.2867011151561,Sudan,109327.0235887324
Syria,109327.0235887324,Somalia,11679.800110152268,Syria,0
"Yemen, Republic",8980,South Africa,377781.6009858731,"Yemen, Republic",21610
Zimbabwe,21610,South Sudan,0,Zimbabwe,26538.27349884614
,26538.27349884614,Spain,1580694.712515714,,
,,Sri Lanka,84356.86042112995,,
,,St. Kitts and Nevis,1077.0331111111109,,
,,St. Lucia,2519.9259385244663,,
,,St. Martin (French part),0,,
,,St. Vincent and the Grenadines,1065.9629629629628,,
,,Sudan,109327.0235887324,,
,,Suriname,3782.437296043229,,
,,Sweden,593267.7010334082,,
,,Switzerland,884940.4022304089,,
,,Syrian Arab Republic,0,,
,,Tajikistan,12060.602008847782,,
,,Tanzania,79158.28633352398,,
,,Thailand,514944.99383357755,,
,,Timor-Leste,2243.14290846161,,
,,Togo,9171.261835062642,,
,,Tonga,500.2748980852215,,
,,Trinidad and Tobago,28139.944790291105,,
,,Tunisia,48529.59541665326,,
,,Turkiye,1108022.373259511,,
,,Turkmenistan,59887.33484406514,,
,,Turks and Caicos Islands,1402.05439094734,,
,,Tuvalu,62.280311585217156,,
,,Uganda,49272.882213623,,
,,Ukraine,178757.02138680895,,
,,United Arab Emirates,504173.45132743364,,
,,United Kingdom,3340032.3806680357,,
,,United States,27360935,,
,,Uruguay,77240.83158716696,,
,,Uzbekistan,90889.14930673127,,
,,Vanuatu,1126.3133592192257,,
,,"Venezuela, RB",0,,
,,Viet Nam,429716.9690495928,,
,,Virgin Islands (U.S.),0,,
,,West Bank and Gaza,17396.3,,
,,"Yemen, Rep.",0,,
,,Zambia,28162.6309539285,,
,,Zimbabwe,26538.27349884614,,
