Country,GDP (in millions) in 2024,Country Name,GDP in 2024,Country,GDP (in millions) in 2022,GDP (in millions) in 2023
Curacao,3561.178196207134,Cayman Islands,7241.244269459721,Curacao,3561.178196207134,3561.178196207134
Cyprus,37634.53333189016,Central African Republic,2751.4942810688704,Cyprus,37634.53333189016,37634.53333189016
Czech Republic,347034.06292847905,Central Europe and the Baltics,2462005.273603478,Czech Republic,0,87113.17914928401
Denmark,424524.722037047,Chad,19518.819751283037,Denmark,424524.722037047,424524.722037047
Dominican Republic,124282.24563856845,Channel Islands,12507.320838393167,Dominican Republic,124282.24563856845,124282.24563856845
Ecuador,124676.0747,Chile,330267.1373715923,Ecuador,124676.0747,124676.0747
Egypt,389059.9110035657,China,18743803.170827165,Egypt,0,424524.722037047
El Salvador,35364.96,Colombia,418818.1548792711,El Salvador,35364.96,35364.96
Estonia,43130.419829349994,Comoros,1440.9914554518843,Estonia,43130.419829349994,43130.419829349994
Ethiopia,149740.29795298603,"Congo, Dem. Rep.",70962.18579070935,Ethiopia,149740.29795298603,149740.29795298603
Fiji,5968.12590927126,"Congo, Rep.",15719.98607664638,Fiji,5968.12590927126,5968.12590927126
Finland,298696.9612976562,Costa Rica,95350.42317659622,Finland,298696.9612976562,298696.9612976562
France,3160442.622465078,Cote d'Ivoire,87113.17914928401,France,3160442.622465078,3160442.622465078
Gabon,20895.68442567522,Croatia,92983.81032890885,Gabon,20895.68442567522,20895.68442567522
Georgia,34189.42354499553,Cuba,107352,Georgia,34189.42354499553,34189.42354499553
Germany,4685592.5778046865,Curacao,3561.178196207134,Germany,4685592.5778046865,4685592.5778046865
Ghana,82308.11038646406,Cyprus,37634.53333189016,Ghana,82308.11038646406,82308.11038646406
Greece,256238.37177811793,Czechia,347034.06292847905,Greece,256238.37177811793,256238.37177811793
Guatemala,113199.58115820274,Denmark,424524.722037047,Guatemala,113199.58115820274,113199.58115820274
Guernsey (States of),3446,Djibouti,4152.145939984583,Guernsey (States of),3446,3446
Honduras,37093.56585404368,Dominica,688.8814814814814,Honduras,37093.56585404368,37093.56585404368
Hong Kong,406863.39648734155,Dominican Republic,124282.24563856845,Hong Kong,0,2404.8887492190693
Hungary,222722.73892564097,Early-demographic dividend,15808304.48794813,Hungary,222722.73892564097,222722.73892564097
Iceland,33255.181468938186,East Asia & Pacific,32017179.839273,Iceland,33255.181468938186,33255.181468938186
India,3909891.5338580837,East Asia & Pacific (excluding high income),22260810.77187511,India,3909891.5338580837,3909891.5338580837
Indonesia,1396300.0981909733,East Asia & Pacific (IDA & IBRD countries),22233362.919728402,Indonesia,1396300.0981909733,1396300.0981909733
Iraq,279641.25761538465,Ecuador,124676.0747,Iraq,279641.25761538465,279641.25761538465
Ireland,609157.4597472054,"Egypt, Arab Rep.",389059.9110035657,Ireland,609157.4597472054,609157.4597472054
Isle of Man,7431.257410927127,El Salvador,35364.96,Isle of Man,7431.257410927127,7431.257410927127
Israel,540379.921261681,Equatorial Guinea,12765.777677062155,Israel,540379.921261681,540379.921261681
Italy,2380825.077243593,Eritrea,0,Italy,2380825.077243593,2380825.077243593
Jamaica,22014.39708976886,Estonia,43130.419829349994,Jamaica,22014.39708976886,22014.39708976886
Japan,4027597.5235505826,Eswatini,4858.885840772364,Japan,4027597.5235505826,4027597.5235505826
Jersey (States of),4890,Ethiopia,149740.29795298603,Jersey (States of),4890,4890
Jordan,53352.28957746479,Euro area,16485444.160370998,Jordan,53352.28957746479,53352.28957746479
Kazakhstan,291480.2746488259,Europe & Central Asia,29291828.95776881,Kazakhstan,291480.2746488259,291480.2746488259
Kenya,120339.55790593175,Europe & Central Asia (excluding high income),2451180.1445054663,Kenya,120339.55790593175,120339.55790593175
Korea,1875388.209406803,Europe & Central Asia (IDA & IBRD countries),6131674.441421644,Korea,0,222722.73892564097
Kuwait,160227.2730533338,European Union,19497115.588443577,Kuwait,160227.2730533338,11000
Kyrgyzstan,17478.259659262498,Faroe Islands,4052.9371697653646,Kyrgyzstan,0,43823204.66449387
Laos,16502.93312133794,Fiji,5968.12590927126,Laos,0,1117411.9426617154
Latvia,43684.25443236093,Finland,298696.9612976562,Latvia,43684.25443236093,43684.25443236093
Lebanon,20078.620357,Fragile and conflict affected situations,1652895.518697739,Lebanon,0,0
Liechtenstein,8239.379403,France,3160442.622465078,Liechtenstein,0,0
Lithuania,84869.21551336482,French Polynesia,6323.716355050094,Lithuania,84869.21551336482,84869.21551336482
Luxembourg,93279.85186340623,Gabon,20895.68442567522,Luxembourg,93279.85186340623,93279.85186340623
Macao,49467.258923324385,"Gambia, The",2404.8887492190693,Macao,0,540379.921261681
Macedonia,16951.6822454202,Georgia,34189.42354499553,Macedonia,0,7941312.38146447
Malaysia,422227.0054286881,Germany,4685592.5778046865,Malaysia,422227.0054286881,422227.0054286881
Maldives,7061.608267254508,Ghana,82308.11038646406,Maldives,7061.608267254508,7061.608267254508
Mali,26794.74723988047,Gibraltar,0,Mali,26794.74723988047,26794.74723988047
Malta,24971.574502447478,Greece,256238.37177811793,Malta,24971.574502447478,24971.574502447478
Mauritius,14937.861786169999,Greenland,3326.5439743919296,Mauritius,14937.861786169999,14937.861786169999
Mexico,1856365.616165938,Grenada,1371.9185185185183,Mexico,1856365.616165938,1856365.616165938
Moldova,18200.340853651684,Guam,6910,Moldova,18200.340853651684,18200.340853651684
Mongolia,23794.54002451317,Guatemala,113199.58115820274,Mongolia,23794.54002451317,23794.54002451317
Montenegro,8270.016670867739,Guinea,25008.678293408433,Montenegro,8270.016670867739,8270.016670867739
Montserrat,16199,Guinea-Bissau,2218.393804547982,Montserrat,16199,16199
Morocco,160610.9940547341,Guyana,24662.709832134293,Morocco,160610.9940547341,160610.9940547341
Mozambique,22745.341305062204,Haiti,25224.154990794555,Mozambique,22745.341305062204,22745.341305062204
Namibia,13372.354511716025,Heavily indebted poor countries (HIPC),1145111.3492625747,Namibia,13372.354511716025,13372.354511716025
Netherlands,42914.268286710925,High income,71321142.70825113,Netherlands,1214927.698572656,42914.268286710925
New Zealand,1214927.698572656,Honduras,37093.56585404368,New Zealand,260172.3850976165,1214927.698572656
Nicaragua,260172.3850976165,"Hong Kong SAR, China",406863.39648734155,Nicaragua,19693.982967592558,260172.3850976165
Niger,19693.982967592558,Hungary,222722.73892564097,Niger,19876.12848578567,19693.982967592558
Nigeria,19876.12848578567,IBRD only,40930410.371533394,Nigeria,252261.88014115053,19876.12848578567
Norway,252261.88014115053,Iceland,33255.181468938186,Norway,483592.6483133012,252261.88014115053
Oman,483592.6483133012,IDA & IBRD total,43823204.66449387,Oman,107137.19876938646,483592.6483133012
Pakistan,107137.19876938646,IDA blend,1117411.9426617154,Pakistan,371570.0001212658,107137.19876938646
Panama,371570.0001212658,IDA only,1775382.3502987875,Panama,86523.9591317472,371570.0001212658
Papua New Guinea,86523.9591317472,IDA total,2892794.292960503,Papua New Guinea,31800.428265524628,86523.9591317472
Paraguay,31800.428265524628,India,3909891.5338580837,Paraguay,44458.118397444545,31800.428265524628
Peru,44458.118397444545,Indonesia,1396300.0981909733,Peru,289221.9690629408,44458.118397444545
Philippines,289221.9690629408,"Iran, Islamic Rep.",475252.08921541576,Philippines,461617.5097823546,289221.9690629408
Poland,461617.5097823546,Iraq,279641.25761538465,Poland,917767.1061467614,461617.5097823546
Portugal,917767.1061467614,Ireland,609157.4597472054,Portugal,313271.1850851023,917767.1061467614
Qatar,313271.1850851023,Isle of Man,7431.257410927127,Qatar,219162.63736263735,313271.1850851023
Ras Al Khaimah (Emirate of),219162.63736263735,Israel,540379.921261681,Ras Al Khaimah (Emirate of),11000,219162.63736263735
Romania,11000,Italy,2380825.077243593,Romania,382564.21798886574,11000
Russia,382564.21798886574,Jamaica,22014.39708976886,Russia,0,382564.21798886574
Rwanda,2173835.806671656,Japan,4027597.5235505826,Rwanda,14251.642235096837,2189893.127426381
Saudi Arabia,14251.642235096837,Jordan,53352.28957746479,Saudi Arabia,1239804.5333333332,14251.642235096837
Senegal,1239804.5333333332,Kazakhstan,291480.2746488259,Senegal,32808.05660094358,1239804.5333333332
Serbia,32808.05660094358,Kenya,120339.55790593175,Serbia,90097.76595911144,32808.05660094358
Sharjah,90097.76595911144,Kiribati,307.86256448971136,Sharjah,24800,90097.76595911144
Singapore,24800,"Korea, Dem. People's Rep.",0,Singapore,547386.6458918466,24800
Slovakia,547386.6458918466,"Korea, Rep.",1875388.209406803,Slovakia,0,547386.6458918466
Slovenia,140934.07653237498,Kosovo,11197.24632258802,Slovenia,72972.0151973859,1214927.698572656
Solomon Islands,72972.0151973859,Kuwait,160227.2730533338,Solomon Islands,1583.9647037506109,72972.0151973859
South Africa,1583.9647037506109,Kyrgyz Republic,17478.259659262498,South Africa,401144.99837358523,1583.9647037506109
Spain,401144.99837358523,Lao PDR,16502.93312133794,Spain,1725671.6527421873,#N/A
Sri Lanka,1725671.6527421873,Late-demographic dividend,29979152.24511259,Sri Lanka,98963.18550964995,#N/A
St. Maarten,98963.18550964995,Latin America & Caribbean,7110323.254687349,St. Maarten,11900,#N/A
St. Vincent & the Grenadines,1797.8366659513574,Latin America & Caribbean (excluding high income),6168787.362595332,St. Vincent & the Grenadines,8100,11900
Suriname,1157.2074074074073,Latin America & the Caribbean (IDA & IBRD countries),6776899.040059779,Suriname,4416.775112096267,8100
Swaziland,4416.775112096267,Latvia,43684.25443236093,Swaziland,0,#N/A
Sweden,4858.885840772364,Least developed countries: UN classification,1536272.7278127088,Sweden,603715.2242657979,32017179.839273
Switzerland,603715.2242657979,Lebanon,0,Switzerland,936564.1980485158,#N/A
Taiwan,936564.1980485158,Lesotho,2271.7594545110724,Taiwan,761690,#N/A
Tajikistan,791610,Liberia,4779.3009,Tajikistan,14204.57554855358,791610
Tanzania,14204.57554855358,Libya,48487.15121534504,Tanzania,78844.4053852195,#N/A
Thailand,78844.4053852195,Liechtenstein,0,Thailand,526517.6588416838,#N/A
Togo,526517.6588416838,Lithuania,84869.21551336482,Togo,10651.180146530964,#N/A
Trinidad and Tobago,10651.180146530964,Low & middle income,39397098.75361442,Trinidad and Tobago,25633.54452948487,#N/A
Tunisia,25633.54452948487,Low income,469282.2826325219,Tunisia,51332.28565654216,#N/A
Turkey,51332.28565654216,Lower middle income,7941312.38146447,Turkey,0,#N/A
Turks and Caicos Islands,1359123.7687741222,Luxembourg,93279.85186340623,Turks and Caicos Islands,1745.378,1510802.8836841492
Uganda,1745.378,"Macao SAR, China",49467.258923324385,Uganda,53911.90708615253,#N/A
Ukraine,53911.90708615253,Madagascar,17420.50149012312,Ukraine,190741.26241470463,#N/A
United Arab Emirates,190741.26241470463,Malawi,11316.41132946194,United Arab Emirates,552324.8468345815,#N/A
United Kingdom,552324.8468345815,Malaysia,422227.0054286881,United Kingdom,3686033.0444821278,#N/A
United States of America,3686033.0444821278,Maldives,7061.608267254508,United States of America,0,#N/A
Uruguay,28750956.1307312,Mali,26794.74723988047,Uruguay,80961.51107357965,822.1546210888972
Uzbekistan,80961.51107357965,Malta,24971.574502447478,Uzbekistan,114965.29346661102,#N/A
Venezuela,114965.29346661102,Marshall Islands,290.108489990234,Venezuela,98400,#N/A
Vietnam,119802.96325778269,Mauritania,10908.045686880798,Vietnam,408802,98400
Zambia,476388.23030717525,Mauritius,14937.861786169999,Zambia,25303.185342251072,6971.127235312296
,25303.185342251072,Mexico,1856365.616165938,,,#N/A
,,"Micronesia, Fed. Sts.",471.425099488675,,,
Algeria,,"Middle East, North Africa, Afghanistan & Pakistan",5094721.946852295,Algeria,269322.2816647731,
Brunei,269322.2816647731,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2203604.227426382,Brunei,14010,269322.2816647731
Gambia,15340.808592479976,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2189893.127426381,Gambia,2038,14010
Guinea,2404.8887492190693,Middle income,38925709.373017654,Guinea,25008.678293408433,43130.419829349994
Guinea-Bissau,25008.678293408433,Moldova,18200.340853651684,Guinea-Bissau,2218.393804547982,25008.678293408433
Guyana,2218.393804547982,Monaco,11125.783372479409,Guyana,24662.709832134293,2218.393804547982
Haiti,24662.709832134293,Mongolia,23794.54002451317,Haiti,25224.154990794555,24662.709832134293
Iran,25224.154990794555,Montenegro,8270.016670867739,Iran,0,25224.154990794555
"Korea, D.P.R.",475252.08921541576,Morocco,160610.9940547341,"Korea, D.P.R.",28500,256238.37177811793
Liberia,0,Mozambique,22745.341305062204,Liberia,4779.3009,28500
Libya,4779.3009,Myanmar,74068.34952380952,Libya,48487.15121534504,4779.3009
Madagascar,48487.15121534504,Namibia,13372.354511716025,Madagascar,17420.50149012312,48487.15121534504
Malawi,17420.50149012312,Nauru,162.5886206322337,Malawi,11316.41132946194,17420.50149012312
Myanmar,11316.41132946194,Nepal,42914.268286710925,Myanmar,74068.34952380952,11316.41132946194
Sierra Leone,74068.34952380952,Netherlands,1214927.698572656,Sierra Leone,6971.127235312296,74068.34952380952
Somalia,6971.127235312296,New Caledonia,8548.919387126067,Somalia,#N/A,6971.127235312296
Sudan,11967,New Zealand,260172.3850976165,Sudan,49672.4355131126,#N/A
Syria,49672.4355131126,Nicaragua,19693.982967592558,Syria,0,#N/A
"Yemen, Republic",23622.82708,Niger,19876.12848578567,"Yemen, Republic",21610,8980
Zimbabwe,21606.1606630318,Nigeria,252261.88014115053,Zimbabwe,41539.411516444794,21610
,41539.411516444794,North America,31003826.55736496,,,#N/A
,,North Macedonia,16951.6822454202,,,
,,Northern Mariana Islands,0,,,
,,Norway,483592.6483133012,,,
,,Not classified,0,,,
,,OECD members,67500141.71752633,,,
,,Oman,107137.19876938646,,,
,,Other small states,208127.28193163985,,,
,,Pacific island small states,12124.739862530283,,,
,,Pakistan,371570.0001212658,,,
,,Palau,0,,,
,,Panama,86523.9591317472,,,
,,Papua New Guinea,31800.428265524628,,,
,,Paraguay,44458.118397444545,,,
,,Peru,289221.9690629408,,,
,,Philippines,461617.5097823546,,,
,,Poland,917767.1061467614,,,
,,Portugal,313271.1850851023,,,
,,Post-demographic dividend,62787810.95192539,,,
,,Pre-demographic dividend,1510802.8836841492,,,
,,Puerto Rico (US),126029.527033705,,,
,,Qatar,219162.63736263735,,,
,,Romania,382564.21798886574,,,
,,Russian Federation,2173835.806671656,,,
,,Rwanda,14251.642235096837,,,
,,Samoa,1175.7497856511252,,,
,,San Marino,0,,,
,,Sao Tome and Principe,822.1546210888972,,,
,,Saudi Arabia,1239804.5333333332,,,
,,Senegal,32808.05660094358,,,
,,Serbia,90097.76595911144,,,
,,Seychelles,2167.239562460129,,,
,,Sierra Leone,6971.127235312296,,,
,,Singapore,547386.6458918466,,,
,,Sint Maarten (Dutch part),1797.8366659513574,,,
,,Slovak Republic,140934.07653237498,,,
,,Slovenia,72972.0151973859,,,
,,Small states,310642.0666459124,,,
,,Solomon Islands,1583.9647037506109,,,
,,"Somalia, Fed. Rep.",11967,,,
,,South Africa,401144.99837358523,,,
,,South Asia,4512296.631866314,,,
,,South Asia (IDA & IBRD),4512296.631866314,,,
,,South Sudan,0,,,
,,Spain,1725671.6527421873,,,
,,Sri Lanka,98963.18550964995,,,
,,St. Kitts and Nevis,1122.388888888889,,,
,,St. Lucia,2549.0629629629625,,,
,,St. Martin (French part),0,,,
,,St. Vincent and the Grenadines,1157.2074074074073,,,
,,Sub-Saharan Africa,1979078.5039913727,,,
,,Sub-Saharan Africa (excluding high income),1827170.9664759266,,,
,,Sub-Saharan Africa (IDA & IBRD countries),1979078.5039913729,,,
,,Sudan,49672.4355131126,,,
,,Suriname,4416.775112096267,,,
,,Sweden,603715.2242657979,,,
,,Switzerland,936564.1980485158,,,
,,Syrian Arab Republic,0,,,
,,Tajikistan,14204.57554855358,,,
,,Tanzania,78844.4053852195,,,
,,Thailand,526517.6588416838,,,
,,Timor-Leste,1865.60851541321,,,
,,Togo,10651.180146530964,,,
,,Tonga,0,,,
,,Trinidad and Tobago,25633.54452948487,,,
,,Tunisia,51332.28565654216,,,
,,Turkiye,1359123.7687741222,,,
,,Turkmenistan,51387.20987229937,,,
,,Turks and Caicos Islands,1745.378,,,
,,Tuvalu,0,,,
,,Uganda,53911.90708615253,,,
,,Ukraine,190741.26241470463,,,
,,United Arab Emirates,552324.8468345815,,,
,,United Kingdom,3686033.0444821278,,,
,,United States,28750956.1307312,,,
,,Uruguay,80961.51107357965,,,
,,Uzbekistan,114965.29346661102,,,
,,Vanuatu,1117.9720342264168,,,
,,"Venezuela, RB",119802.96325778269,,,
,,Viet Nam,476388.23030717525,,,
,,Virgin Islands (U.S.),0,,,
,,West Bank and Gaza,13711.1,,,
,,World,110982661.18001343,,,
,,"Yemen, Rep.",0,,,
,,Zambia,25303.185342251072,,,
,,Zimbabwe,41539.411516444794,,,
